title,runtime,imdb_score,votes,genre
When the World Met Miss Probinsyana,155,0.0,0,Family
The Thundermans Return,70,5.0,1800,Family
Odna doma. Velikolepnaya pyatyorka,85,0.0,0,Family
Once Upon a Christmas,115,0.0,0,Family
Max und die wilde 7: Die Geister-Oma,90,0.0,0,Family
Satidevi,129,0.0,0,Family
Perfekta: Uma Aventura da Escola de Gênios,92,0.0,0,Family
Malyshariki. Den rozhdeniya,52,5.8,0,Family
Feng Zi Lao Ba,85,0.0,0,Family
Lek Asavi Tar Ashi,143,0.0,0,Family
Fear,115,0.0,0,Family
Khelaghar Bandhte Legechi,100,0.0,0,Family
RB&O Live: Alice's Adventures in Wonderland,205,0.0,0,Family
Last Defenders of Monogamy,84,0.0,0,Family
Klaantha,107,0.0,0,Family
Iwájú: A Day Ahead,71,6.8,0,Family
Interview,115,0.0,0,Family
Vindu Bhojanam,103,0.0,0,Family
"Poymay sobaku, esli smozhesh",96,0.0,0,Family
Udanadi Mangalyam,90,0.0,0,Family
That Christmas,91,6.8,17000,Family
Princezna na hrásku,80,0.0,0,Family
Alive & Free,91,0.0,0,Family
Mezhdu nami,93,0.0,0,Family
A House Without a Father,61,0.0,0,Family
Nosso Amiguinho,100,0.0,0,Family
Indonesia dari Timur,112,0.0,0,Family
V banyu!,99,0.0,0,Family
Papu mame zaverni,106,0.0,0,Family
"But First, Coffee",49,0.0,0,Family
Noah's Ark,96,0.0,0,Family
Moyo sobache delo,77,0.0,0,Family
My Dad Is an Alien,96,0.0,0,Family
Prinsessa Pikkiriikki,75,0.0,0,Family
Novogodnee chudo,73,0.0,0,Family
Kattis Gang,144,0.0,0,Family
Give 'Em Hell Honey!,94,6.1,0,Family
Vovó Ninja,96,0.0,0,Family
Let's Go! Anpanman: Baikinman and Lulun,64,0.0,0,Family
Woodwalkers,103,0.0,0,Family
Arne Alligator och djungelkompisarna,61,0.0,0,Family
Bitva pap,79,0.0,0,Family
Neposlushniki,108,0.0,0,Family
Dastaavej,140,0.0,0,Family
The Heiress,131,0.0,0,Family
Candlelight My Way,95,0.0,0,Family
Guest from the Future,141,0.0,0,Family
Ani-Mom,65,0.0,0,Family
Korporatsiya Morozov,83,0.0,0,Family
Kazhdyy mechtaet o sobake,90,0.0,0,Family
The Christmas Room,99,6.4,0,Family
Mukhadrakon,109,0.0,0,Family
1600 Meter,106,0.0,0,Family
Magic Birds: I magiki pagida,100,0.0,0,Family
Suvorovets 1944,90,0.0,0,Family
Graphy,33,0.0,0,Family
Sonic the Hedgehog 3,110,6.9,53000,Family
The Tiger's Apprentice,84,5.7,2100,Family
Tui Ke Amar,114,0.0,0,Family
Thomas & Friends ERTL Adventures: The Biggest Christmas Adventure,75,0.0,0,Family
Uparwala & Sons,126,0.0,0,Family
Chitra,125,0.0,0,Family
Skaapboud of Potjie,89,0.0,0,Family
Hothat Bhalobasa,64,0.0,0,Family
Her Life Choice,45,0.0,0,Family
Panne,162,0.0,0,Family
Ultraman: Rising,117,6.9,6200,Family
Childhood Tales,63,7.3,0,Family
Give You a Candy,134,0.0,0,Family
A Christmas Reunion,64,0.0,0,Family
Haddhu Ledhu Raa,112,0.0,0,Family
Nebesko,73,0.0,0,Family
Idu Entha Lokavayya,120,0.0,0,Family
Hamari Ramleela,119,0.0,0,Family
Doraemon the Movie: Nobita's Earth Symphony,115,0.0,0,Family
Appa I Love You,145,0.0,0,Family
Uzhaipalar Thinam,122,0.0,0,Family
Selebryata,93,0.0,0,Family
Agar Magar Kintu Lekin Parantu,110,0.0,0,Family
Príncipe Lu e a Lenda do Dragão,90,0.0,0,Family
Stealing Church,39,0.0,0,Family
Jugol,49,0.0,0,Family
The Lost Tiger,90,0.0,0,Family
Kaash (Jiff Official Selection),54,0.0,0,Family
Person of the Year,100,0.0,0,Family
L'Elisir di Leonardo da Vinci e la Banda del Buffardello,90,0.0,0,Family
Maranayudham,141,0.0,0,Family
Omar v bolshom kino,86,0.0,0,Family
LUDA,86,0.0,0,Family
10 Lives,88,5.9,1900,Family
Pinnil Oral,127,0.0,0,Family
